cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
LUAD,CNV,NA,0.434782608695652,0.784615384615385,NA,0.416666666666667,0.434782608695652,0.425531914893617,0.693181818181818,0.216358839050132,Fold1.Rep01
LUAD,CNV,NA,0.304347826086957,0.772727272727273,NA,0.318181818181818,0.304347826086957,0.311111111111111,0.651685393258427,0.0781824256598732,Fold2.Rep01
LUAD,CNV,NA,0.25,0.818181818181818,NA,0.333333333333333,0.25,0.285714285714286,0.666666666666667,0.0740740740740739,Fold3.Rep01
LUAD,CNV,NA,0.434782608695652,0.742424242424242,NA,0.37037037037037,0.434782608695652,0.4,0.662921348314607,0.167705735660848,Fold4.Rep01
LUAD,CNV,NA,0.347826086956522,0.723076923076923,NA,0.307692307692308,0.347826086956522,0.326530612244898,0.625,0.0680359435173298,Fold5.Rep01
LUAD,CNV,NA,0.375,0.738461538461539,NA,0.346153846153846,0.375,0.36,0.640449438202247,0.110555902560899,Fold1.Rep02
LUAD,CNV,NA,0.347826086956522,0.757575757575758,NA,0.333333333333333,0.347826086956522,0.340425531914894,0.651685393258427,0.103929847353037,Fold2.Rep02
LUAD,CNV,NA,0.130434782608696,0.784615384615385,NA,0.176470588235294,0.130434782608696,0.15,0.613636363636364,-0.0927684441197953,Fold3.Rep02
LUAD,CNV,NA,0.478260869565217,0.681818181818182,NA,0.34375,0.478260869565217,0.4,0.629213483146067,0.141980718667835,Fold4.Rep02
LUAD,CNV,NA,0.521739130434783,0.787878787878788,NA,0.461538461538462,0.521739130434783,0.489795918367347,0.719101123595506,0.296998420221169,Fold5.Rep02
LUAD,CNV,NA,0.260869565217391,0.742424242424242,NA,0.260869565217391,0.260869565217391,0.260869565217391,0.617977528089888,0.00329380764163337,Fold1.Rep03
LUAD,CNV,NA,0.391304347826087,0.757575757575758,NA,0.36,0.391304347826087,0.375,0.662921348314607,0.144778987828315,Fold2.Rep03
