cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
BRCA,CNV,0.5,0.5,0.654929577464789,NA,0.0925925925925926,0.5,0.15625,0.644736842105263,0.0508788159111935,Fold1.Rep01
BRCA,CNV,NA,0.555555555555556,0.654929577464789,NA,0.0925925925925926,0.555555555555556,0.158730158730159,0.649006622516556,0.0629902821683643,Fold2.Rep01
BRCA,CNV,NA,0.5,0.567375886524823,NA,0.0757575757575758,0.5,0.131578947368421,0.562913907284768,0.0187081528160691,Fold3.Rep01
BRCA,CNV,NA,0.4,0.716312056737589,NA,0.0909090909090909,0.4,0.148148148148148,0.695364238410596,0.045092108880946,Fold4.Rep01
BRCA,CNV,0.5,0.4,0.645390070921986,NA,0.0740740740740741,0.4,0.125,0.629139072847682,0.0149114631873256,Fold5.Rep01
BRCA,CNV,NA,0.444444444444444,0.75886524822695,NA,0.105263157894737,0.444444444444444,0.170212765957447,0.74,0.0810556079170595,Fold1.Rep02
BRCA,CNV,NA,0.6,0.716312056737589,NA,0.130434782608696,0.6,0.214285714285714,0.708609271523179,0.118365180467091,Fold2.Rep02
BRCA,CNV,0.5,0.3,0.546099290780142,NA,0.0447761194029851,0.3,0.0779220779220779,0.529801324503311,-0.0421891707980947,Fold3.Rep02
BRCA,CNV,NA,0.5,0.697183098591549,NA,0.104166666666667,0.5,0.172413793103448,0.684210526315789,0.0712830957230141,Fold4.Rep02
BRCA,CNV,NA,0.2,0.570422535211268,NA,0.0317460317460317,0.2,0.0547945205479452,0.546052631578947,-0.0662871085807238,Fold5.Rep02
BRCA,CNV,NA,0.444444444444444,0.654929577464789,NA,0.0754716981132075,0.444444444444444,0.129032258064516,0.642384105960265,0.0302093244529017,Fold1.Rep03
BRCA,CNV,0.5,0.4,0.666666666666667,NA,0.0784313725490196,0.4,0.131147540983607,0.649006622516556,0.0229520205103158,Fold2.Rep03
BRCA,CNV,0.5,0.6,0.697183098591549,NA,0.122448979591837,0.6,0.203389830508475,0.690789473684211,0.105658487731597,Fold3.Rep03
BRCA,CNV,0.5,0.6,0.602836879432624,NA,0.0967741935483871,0.6,0.166666666666667,0.602649006622517,0.0593853820598005,Fold4.Rep03
BRCA,CNV,NA,0.5,0.631205673758865,NA,0.087719298245614,0.5,0.149253731343284,0.622516556291391,0.0412164420184918,Fold5.Rep03
BRCA,CNV,0.5,0.4,0.602836879432624,NA,0.0666666666666667,0.4,0.114285714285714,0.589403973509934,0.000853788687300016,Fold1.Rep04
BRCA,CNV,NA,0.3,0.654929577464789,NA,0.0576923076923077,0.3,0.0967741935483871,0.631578947368421,-0.0152671755725192,Fold2.Rep04
BRCA,CNV,NA,0.555555555555556,0.666666666666667,NA,0.0961538461538462,0.555555555555556,0.163934426229508,0.66,0.0686632578524471,Fold3.Rep04
BRCA,CNV,NA,0.7,0.676056338028169,NA,0.132075471698113,0.7,0.222222222222222,0.677631578947368,0.125410991075623,Fold4.Rep04
BRCA,CNV,0.5,0.4,0.702127659574468,NA,0.0869565217391304,0.4,0.142857142857143,0.682119205298013,0.0382165605095542,Fold5.Rep04
BRCA,CNV,0.5,0.4,0.574468085106383,NA,0.0625,0.4,0.108108108108108,0.562913907284768,-0.00727713765918741,Fold1.Rep05
BRCA,CNV,NA,0.666666666666667,0.690140845070423,NA,0.12,0.666666666666667,0.203389830508475,0.688741721854305,0.113871894119116,Fold2.Rep05
