cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
KIRC,CNV,0.461538461538462,0.285714285714286,0.8125,NA,0.307692307692308,0.285714285714286,0.296296296296296,0.693548387096774,0.100763358778626,Fold1.Rep01
KIRC,CNV,0.5,0.384615384615385,0.645833333333333,NA,0.227272727272727,0.384615384615385,0.285714285714286,0.590163934426229,0.0243122200895711,Fold2.Rep01
KIRC,CNV,0.464285714285714,0.357142857142857,0.770833333333333,NA,0.3125,0.357142857142857,0.333333333333333,0.67741935483871,0.121813031161473,Fold3.Rep01
KIRC,CNV,0.5,0.285714285714286,0.74468085106383,NA,0.25,0.285714285714286,0.266666666666667,0.639344262295082,0.0289435600578874,Fold4.Rep01
KIRC,CNV,1,0.538461538461538,0.6875,NA,0.318181818181818,0.538461538461538,0.4,0.655737704918033,0.18042226487524,Fold5.Rep01
KIRC,CNV,0.5,0.357142857142857,0.74468085106383,NA,0.294117647058824,0.357142857142857,0.32258064516129,0.655737704918033,0.0946996466431097,Fold1.Rep02
KIRC,CNV,0.4375,0.357142857142857,0.833333333333333,NA,0.384615384615385,0.357142857142857,0.37037037037037,0.725806451612903,0.195419847328244,Fold2.Rep02
KIRC,CNV,0.5,0.428571428571429,0.645833333333333,NA,0.260869565217391,0.428571428571429,0.324324324324324,0.596774193548387,0.0606060606060607,Fold3.Rep02
KIRC,CNV,0.5,0.538461538461538,0.770833333333333,NA,0.388888888888889,0.538461538461538,0.451612903225806,0.721311475409836,0.271257905832748,Fold4.Rep02
KIRC,CNV,0.5,0.384615384615385,0.708333333333333,NA,0.263157894736842,0.384615384615385,0.3125,0.639344262295082,0.0795610425240058,Fold5.Rep02
KIRC,CNV,0.5,0.285714285714286,0.787234042553192,NA,0.285714285714286,0.285714285714286,0.285714285714286,0.672131147540984,0.0729483282674773,Fold1.Rep03
KIRC,CNV,0.5,0.384615384615385,0.604166666666667,NA,0.208333333333333,0.384615384615385,0.27027027027027,0.557377049180328,-0.0085731781996328,Fold2.Rep03
KIRC,CNV,0.5,0.285714285714286,0.75,NA,0.25,0.285714285714286,0.266666666666667,0.645161290322581,0.0339943342776204,Fold3.Rep03
KIRC,CNV,0.5,0.461538461538462,0.770833333333333,NA,0.352941176470588,0.461538461538462,0.4,0.704918032786885,0.208933717579251,Fold4.Rep03
KIRC,CNV,0.4,0.428571428571429,0.791666666666667,NA,0.375,0.428571428571429,0.4,0.709677419354839,0.209631728045326,Fold5.Rep03
KIRC,CNV,0.5,0.0769230769230769,0.791666666666667,NA,0.0909090909090909,0.0769230769230769,0.0833333333333333,0.639344262295082,-0.139219015280135,Fold1.Rep04
KIRC,CNV,0.466666666666667,0.571428571428571,0.75,NA,0.4,0.571428571428571,0.470588235294118,0.709677419354839,0.279069767441861,Fold2.Rep04
KIRC,CNV,0.5,0.428571428571429,0.770833333333333,NA,0.352941176470588,0.428571428571429,0.387096774193548,0.693548387096774,0.185338865836791,Fold3.Rep04
KIRC,CNV,0.307692307692308,0.357142857142857,0.708333333333333,NA,0.263157894736842,0.357142857142857,0.303030303030303,0.629032258064516,0.0581241743725231,Fold4.Rep04
KIRC,CNV,0.5,0.230769230769231,0.638297872340426,NA,0.15,0.230769230769231,0.181818181818182,0.55,-0.10958904109589,Fold5.Rep04
KIRC,CNV,0.833333333333333,0.461538461538462,0.854166666666667,NA,0.461538461538462,0.461538461538462,0.461538461538462,0.770491803278688,0.315705128205128,Fold1.Rep05
KIRC,CNV,0.5,0.5,0.666666666666667,NA,0.304347826086957,0.5,0.378378378378378,0.629032258064516,0.135757575757576,Fold2.Rep05
KIRC,CNV,0.5,0.153846153846154,0.583333333333333,NA,0.0909090909090909,0.153846153846154,0.114285714285714,0.491803278688525,-0.209852847088932,Fold3.Rep05
KIRC,CNV,0.5,0.142857142857143,0.659574468085106,NA,0.111111111111111,0.142857142857143,0.125,0.540983606557377,-0.179558011049724,Fold4.Rep05
KIRC,CNV,0.411764705882353,0.285714285714286,0.895833333333333,NA,0.444444444444444,0.285714285714286,0.347826086956522,0.758064516129032,0.207836456558773,Fold5.Rep05
KIRC,CNV,0.4375,0.5,0.729166666666667,NA,0.35,0.5,0.411764705882353,0.67741935483871,0.198966408268734,Fold1.Rep06
KIRC,CNV,0.5,0.307692307692308,0.638297872340426,NA,0.19047619047619,0.307692307692308,0.235294117647059,0.566666666666667,-0.0441767068273092,Fold2.Rep06
KIRC,CNV,0.5,0.428571428571429,0.791666666666667,NA,0.375,0.428571428571429,0.4,0.709677419354839,0.209631728045326,Fold3.Rep06
KIRC,CNV,0.5,0.230769230769231,0.708333333333333,NA,0.176470588235294,0.230769230769231,0.2,0.60655737704918,-0.0547550432276655,Fold4.Rep06
KIRC,CNV,0.625,0.5,0.791666666666667,NA,0.411764705882353,0.5,0.451612903225806,0.725806451612903,0.271092669432918,Fold5.Rep06
KIRC,CNV,0.45,0.428571428571429,0.666666666666667,NA,0.272727272727273,0.428571428571429,0.333333333333333,0.612903225806452,0.0792079207920793,Fold1.Rep07
KIRC,CNV,0.5,0.461538461538462,0.729166666666667,NA,0.315789473684211,0.461538461538462,0.375,0.672131147540984,0.16323731138546,Fold2.Rep07
KIRC,CNV,0.357142857142857,0.461538461538462,0.74468085106383,NA,0.333333333333333,0.461538461538462,0.387096774193548,0.683333333333333,0.181034482758621,Fold3.Rep07
KIRC,CNV,0.4,0.214285714285714,0.791666666666667,NA,0.230769230769231,0.214285714285714,0.222222222222222,0.661290322580645,0.00610687022900758,Fold4.Rep07
