"","F2_partial","F3_partial","F4_partial","N1_partial","N2_partial","N3_partial","N4_partial","T1_partial","L1_partial","L2_partial","L3_partial"
"No",9.64551660973683e-05,0.939655172413793,0.939655172413793,0.432926829268293,0.506941927008339,0.698275862068966,0.0112612612612613,1,0.282813292446933,0.137931034482759,0.18018018018018
"Yes",7.55007442619406e-13,0.86280487804878,0.86280487804878,0.836206896551724,0.488474369221056,0.289634146341463,0.0045045045045045,1,0.0285829105615115,0.024390243902439,0.0157657657657657
